Time,Angle,PWM_Voltage
6.434,-47.1797188957481,-0.00029959151936883
6.457,-47.3126334058404,-0.000387587873186795
6.481,-47.2998657757524,-0.000319333524101896
6.505,-47.1536774476305,-0.000204995098401611
6.529,-46.9186983508965,-0.000102484011514339
6.553,-46.6709786560374,-3.25149227608941e-05
6.577,-46.4994844684035,5.14164097513467e-06
6.601,-46.472002067955,1.92990074633104e-05
6.625,-46.6024952851636,1.99359116375634e-05
6.649,-46.8489781934235,1.48196971795684e-05
6.673,-47.1459770998346,8.70904874630173e-06
6.697,-47.4413141982207,3.83667823366501e-06
6.721,-47.7049416513212,7.90139175227373e-07
6.744,-47.9093099308947,-6.80673234659934e-07
6.768,-48.0183600128456,-1.10416695006934e-06
6.792,-48.0114050709118,-9.81058296429277e-07
6.816,-47.9167795898824,-6.65528623120058e-07
6.84,-47.812353061523,-3.55703807516922e-07
6.864,-47.7816268921012,-1.31831237468332e-07
6.888,-47.8586846674495,-3.84543386012656e-09
6.912,-48.0088135856179,5.00248895799942e-08
6.936,-48.1553314138558,5.87648746744783e-08
6.96,-48.2231528018919,4.65167516239225e-08
6.984,-48.1669568222249,2.89095059700879e-08
7.008,-47.9732639364784,1.38408122532726e-08
7.102,-47.6480681470361,3.88588828018235e-09
7.126,-47.2089020867776,-1.2720148778035e-09
7.15,-46.6841411693657,-3.0579890963526e-09
7.174,-46.1084694161783,-2.97013213975122e-09
7.198,-45.5137603525323,-2.13246033976769e-09
7.222,-44.9236621841633,-1.21128529694793e-09
7.246,-44.353610576712,-5.04192441291889e-10
7.27,-43.8126483525371,-7.62616235941029e-11
7.294,-43.3047315022313,1.20965896653214e-10
7.318,-42.8297735655979,1.69742581439936e-10
7.341,-42.3851266642003,1.44077545583053e-10
7.365,-41.9670421277714,9.46078165718555e-11
7.389,-41.5716993564899,4.86594486630413e-11
7.413,-41.1960867312951,1.65625432129445e-11
7.437,-40.8384819560386,-1.1560342057128e-12
7.461,-40.4980395898148,-8.15836886423962e-12
7.485,-40.1740683938948,-8.84764377678239e-12
7.509,-39.8658175757744,-6.74489662526448e-12
7.533,-39.5725268928627,-4.0569638438829e-12
7.557,-39.2930639488199,-1.85272646716469e-12
7.581,-39.0252155412287,-4.42909070335457e-13
7.605,-38.7653692440122,2.58572014689356e-13
7.628,-38.5094224979772,4.78376343338409e-13
7.652,-38.255718647381,4.40035892425679e-13
7.676,-38.0103863791207,3.05477926438927e-13
7.7,-37.7943417354625,1.67507794262757e-13
7.724,-37.6494166372115,6.53563666476682e-14
7.748,-37.6386902161816,5.55356762766206e-15
7.772,-37.833450744686,-2.06315930836687e-14
7.796,-38.2769232134931,-2.58740302276419e-14
7.82,-38.9372024844668,-2.10567574805317e-14
7.844,-39.702212378502,-1.33866222203126e-14
7.868,-40.4362540024318,-6.60838504471734e-15
7.892,-41.0390925271286,-2.0272361867946e-15
7.916,-41.4616118542461,4.1086052385267e-16
7.939,-41.6945990919654,1.30645198467469e-15
7.963,-41.7579024985687,1.32364535771164e-15
7.987,-41.694296412677,9.73595433904496e-16
8.011,-41.5610152291688,5.66397634723694e-16
8.107,-41.4230716454259,2.45479421475882e-16
8.131,-41.353580701419,4.67676746627209e-17
8.155,-41.4250647713453,-4.78809298431524e-17
8.179,-41.6798648989223,-7.40343661181641e-17
8.203,-42.1012228724182,-6.48561741261394e-17
8.226,-42.6132179942575,-4.35684992549406e-17
8.25,-43.11099852837,-2.30230192577779e-17
8.274,-43.5007049548365,-8.32204006893641e-18
8.298,-43.7266894430737,7.9491050260822e-21
8.322,-43.7768715897066,3.46997627527533e-18
8.346,-43.6718246867894,3.99493462763753e-18
8.37,-43.448357309538,3.1607346543356e-18
8.394,-43.1455505829519,1.96057683332448e-18
